2024-04-20 22:41:36,688, Logistic Regression, Replication: 0, Accuracy: 0.9720, F1: 0.9718, ROC AUC: 0.9972, PRECISION:  0.9787 COHEN KAPPA:  0.9441  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:36,903, Tree Classifier, Replication: 0, Accuracy: 0.9441, F1: 0.9452, ROC AUC: 0.9235, PRECISION:  0.9517 COHEN KAPPA:  0.8881  Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-04-20 22:41:37,006, Logistic Regression, Replication: 1, Accuracy: 0.9685, F1: 0.9663, ROC AUC: 0.9962, PRECISION:  0.9556 COHEN KAPPA:  0.9368  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:37,093, Tree Classifier, Replication: 1, Accuracy: 0.9476, F1: 0.9481, ROC AUC: 0.9655, PRECISION:  0.9195 COHEN KAPPA:  0.8952  Params: {'max_depth': 3, 'min_samples_leaf': 1}
2024-04-20 22:41:37,203, Logistic Regression, Replication: 2, Accuracy: 0.9755, F1: 0.9761, ROC AUC: 0.9930, PRECISION:  0.9795 COHEN KAPPA:  0.9510  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:37,327, Tree Classifier, Replication: 2, Accuracy: 0.9545, F1: 0.9537, ROC AUC: 0.9568, PRECISION:  0.9640 COHEN KAPPA:  0.9091  Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-04-20 22:41:37,420, Logistic Regression, Replication: 3, Accuracy: 0.9685, F1: 0.9668, ROC AUC: 0.9930, PRECISION:  0.9562 COHEN KAPPA:  0.9369  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:37,525, Tree Classifier, Replication: 3, Accuracy: 0.9301, F1: 0.9301, ROC AUC: 0.9425, PRECISION:  0.9172 COHEN KAPPA:  0.8602  Params: {'max_depth': 3, 'min_samples_leaf': 1}
2024-04-20 22:41:37,650, Logistic Regression, Replication: 4, Accuracy: 0.9720, F1: 0.9722, ROC AUC: 0.9948, PRECISION:  0.9589 COHEN KAPPA:  0.9441  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:37,752, Tree Classifier, Replication: 4, Accuracy: 0.9406, F1: 0.9368, ROC AUC: 0.9447, PRECISION:  0.8936 COHEN KAPPA:  0.8809  Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-04-20 22:41:37,847, Logistic Regression, Replication: 5, Accuracy: 0.9580, F1: 0.9603, ROC AUC: 0.9874, PRECISION:  0.9477 COHEN KAPPA:  0.9158  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:37,944, Tree Classifier, Replication: 5, Accuracy: 0.9406, F1: 0.9412, ROC AUC: 0.9421, PRECISION:  0.9379 COHEN KAPPA:  0.8811  Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-04-20 22:41:38,039, Logistic Regression, Replication: 6, Accuracy: 0.9790, F1: 0.9779, ROC AUC: 0.9950, PRECISION:  0.9568 COHEN KAPPA:  0.9580  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:38,132, Tree Classifier, Replication: 6, Accuracy: 0.9371, F1: 0.9348, ROC AUC: 0.9528, PRECISION:  0.9485 COHEN KAPPA:  0.8740  Params: {'max_depth': 3, 'min_samples_leaf': 1}
2024-04-20 22:41:38,231, Logistic Regression, Replication: 7, Accuracy: 0.9720, F1: 0.9730, ROC AUC: 0.9929, PRECISION:  0.9796 COHEN KAPPA:  0.9440  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:38,331, Tree Classifier, Replication: 7, Accuracy: 0.9161, F1: 0.9149, ROC AUC: 0.9216, PRECISION:  0.9485 COHEN KAPPA:  0.8323  Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-04-20 22:41:38,435, Logistic Regression, Replication: 8, Accuracy: 0.9825, F1: 0.9842, ROC AUC: 0.9931, PRECISION:  0.9811 COHEN KAPPA:  0.9646  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:38,554, Tree Classifier, Replication: 8, Accuracy: 0.9266, F1: 0.9293, ROC AUC: 0.9320, PRECISION:  0.9324 COHEN KAPPA:  0.8529  Params: {'max_depth': 5, 'min_samples_leaf': 1}
2024-04-20 22:41:38,671, Logistic Regression, Replication: 9, Accuracy: 0.9476, F1: 0.9474, ROC AUC: 0.9899, PRECISION:  0.9507 COHEN KAPPA:  0.8951  Params: {'C': 10, 'max_iter': 10000}
2024-04-20 22:41:38,792, Tree Classifier, Replication: 9, Accuracy: 0.9126, F1: 0.9196, ROC AUC: 0.9114, PRECISION:  0.8938 COHEN KAPPA:  0.8240  Params: {'max_depth': 5, 'min_samples_leaf': 1}
